sum_time_left	100.0	1141.31	83.2021628264	933.0	1085.25	1138.0	1204.5	1321.0
n_penalties	100.0	413.8	24.604343872	354.0	400.0	416.5	431.0	502.0
last_penalty	100.0	98.84	1.52897932549	92.0	98.0	99.0	100.0	100.0
len_qvals	100.0	730.88	37.0564079983	643.0	706.0	734.0	758.0	873.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1873.475	61.8312862113	1756.5	1830.5	1865.0	1908.5	2064.0
disc_reward_sum	100.0	77.78	18.3886658108	26.5	67.0	77.75	91.0	128.0
n_dest_reached	100.0	82.47	3.00321376683	76.0	80.75	82.0	85.0	90.0
last_dest_fail	100.0	79.44	15.8861606756	36.0	69.75	82.5	91.0	100.0
sum_time_left	100.0	1157.29	84.190056156	925.0	1098.0	1161.0	1214.75	1351.0
n_penalties	100.0	416.26	24.2006010444	330.0	402.0	419.5	432.0	468.0
last_penalty	100.0	98.82	1.48650495112	95.0	98.0	99.0	100.0	100.0
len_qvals	100.0	735.02	37.9909558615	594.0	708.75	739.0	757.5	836.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1883.73	59.8285606267	1709.5	1843.625	1884.5	1932.5	1999.5
disc_reward_sum	100.0	80.115	16.2826757722	43.5	67.875	81.0	90.625	121.0
n_dest_reached	100.0	82.43	3.12453632924	75.0	80.0	83.0	85.0	89.0
last_dest_fail	100.0	79.35	16.840532514	24.0	72.25	84.0	92.0	100.0
sum_time_left	100.0	1151.4	97.1628852115	921.0	1083.0	1145.0	1224.5	1332.0
n_penalties	100.0	418.84	25.7174703816	347.0	400.75	418.0	433.25	494.0
last_penalty	100.0	98.73	1.93247107208	92.0	98.0	100.0	100.0	100.0
len_qvals	100.0	738.34	40.8102829189	634.0	715.0	736.0	762.0	851.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1890.555	63.304056032	1720.0	1852.125	1885.5	1929.25	2050.0
disc_reward_sum	100.0	79.105	18.2542778991	39.0	68.5	78.5	93.5	118.5
n_dest_reached	100.0	82.73	2.57358375293	77.0	81.0	83.0	84.0	89.0
last_dest_fail	100.0	80.65	14.9668826333	40.0	74.0	84.0	93.0	100.0
sum_time_left	100.0	1157.35	82.0275113987	986.0	1098.0	1164.0	1225.25	1338.0
n_penalties	100.0	415.31	23.0741864604	349.0	400.0	416.5	431.5	467.0
last_penalty	100.0	98.87	1.47473675103	91.0	98.0	99.0	100.0	100.0
len_qvals	100.0	734.86	34.9039142837	627.0	710.75	735.5	757.75	807.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1877.425	61.4385779754	1721.0	1836.375	1873.0	1917.5	2010.5
disc_reward_sum	100.0	80.89	18.4654441122	12.5	70.75	80.5	91.25	123.0
n_dest_reached	100.0	82.93	2.62180059956	78.0	81.0	83.0	84.0	90.0
last_dest_fail	100.0	78.63	16.7504892134	29.0	69.75	82.0	92.0	100.0
sum_time_left	100.0	1149.19	78.0334938447	969.0	1100.75	1148.0	1205.5	1350.0
n_penalties	100.0	416.2	25.1271513979	357.0	395.0	419.0	435.75	464.0
last_penalty	100.0	98.83	1.71184229426	91.0	98.0	99.5	100.0	100.0
len_qvals	100.0	736.74	36.7425165885	655.0	714.5	735.0	764.0	810.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1887.055	63.0583301797	1756.5	1842.625	1889.5	1927.75	2040.5
disc_reward_sum	100.0	78.66	17.7522057244	28.0	67.5	80.5	90.25	118.0
n_dest_reached	100.0	82.84	2.82027292898	76.0	81.0	83.0	85.0	89.0
last_dest_fail	100.0	82.14	15.7326271028	27.0	75.0	84.5	95.0	100.0
sum_time_left	100.0	1153.32	94.5954576397	818.0	1092.5	1155.5	1202.25	1375.0
n_penalties	100.0	414.06	24.9742574535	355.0	398.75	413.0	429.0	478.0
last_penalty	100.0	98.93	1.74225559131	91.0	99.0	100.0	100.0	100.0
len_qvals	100.0	734.54	37.4819606443	642.0	707.75	733.5	757.0	831.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1890.665	74.043123355	1676.0	1843.375	1892.5	1939.75	2053.0
disc_reward_sum	100.0	78.72	17.0197923998	36.0	66.875	78.5	91.5	116.5
n_dest_reached	100.0	83.12	2.74976583025	75.0	81.0	83.0	85.0	91.0
last_dest_fail	100.0	78.49	17.4983375834	30.0	68.75	81.5	94.0	100.0
sum_time_left	100.0	1144.17	92.2015858011	860.0	1094.25	1154.0	1211.75	1292.0
n_penalties	100.0	415.02	24.0504436214	355.0	398.75	413.5	429.25	506.0
last_penalty	100.0	98.92	1.46804343095	94.0	98.0	99.5	100.0	100.0
len_qvals	100.0	733.34	35.3985162047	656.0	707.75	731.0	751.25	884.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1891.79	72.1498923748	1699.0	1847.375	1894.5	1936.75	2042.5
disc_reward_sum	100.0	79.825	14.6281130676	51.0	68.375	79.0	90.625	110.0
n_dest_reached	100.0	82.77	3.1200071225	74.0	80.0	83.0	85.0	89.0
last_dest_fail	100.0	79.05	16.9624511046	30.0	69.75	84.0	92.0	100.0
sum_time_left	100.0	1155.17	88.4903755538	969.0	1098.25	1155.5	1212.75	1374.0
n_penalties	100.0	416.51	22.8996471236	362.0	402.75	417.5	431.0	489.0
last_penalty	100.0	98.77	1.64442738184	91.0	98.0	99.0	100.0	100.0
len_qvals	100.0	736.46	33.5999699375	662.0	716.0	734.5	755.0	838.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1884.23	61.4221367985	1740.5	1843.5	1887.75	1926.5	2041.5
disc_reward_sum	100.0	81.485	16.5490478532	43.0	69.0	79.5	93.625	123.5
n_dest_reached	100.0	82.47	2.76505977432	74.0	81.0	82.0	84.0	90.0
last_dest_fail	100.0	80.84	15.9815044614	28.0	73.0	85.0	93.0	100.0
sum_time_left	100.0	1153.28	86.4283529984	968.0	1106.25	1150.0	1216.0	1384.0
n_penalties	100.0	414.99	24.035115304	358.0	398.0	412.0	431.25	485.0
last_penalty	100.0	99.05	1.65373773158	89.0	99.0	100.0	100.0	100.0
len_qvals	100.0	732.78	37.932843369	647.0	708.75	729.5	754.0	841.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1877.43	63.2065325546	1717.5	1835.25	1872.0	1916.5	2077.0
disc_reward_sum	100.0	79.46	16.6135030878	28.5	68.5	82.5	89.75	115.5
n_dest_reached	100.0	82.58	3.06224978364	74.0	80.75	83.0	85.0	92.0
last_dest_fail	100.0	79.92	17.7232826382	18.0	71.0	83.0	94.25	100.0
sum_time_left	100.0	1157.16	107.358901528	880.0	1092.0	1156.0	1210.75	1537.0
n_penalties	100.0	415.17	24.109202317	367.0	397.25	417.0	430.0	492.0
last_penalty	100.0	98.98	1.34824989441	94.0	98.0	99.0	100.0	100.0
len_qvals	100.0	733.63	35.8638432481	665.0	707.75	729.5	754.0	849.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1870.01	52.8283373988	1670.5	1833.5	1876.0	1908.625	1961.0
disc_reward_sum	100.0	77.75	15.859468064	40.0	66.375	77.5	88.25	124.0
n_dest_reached	100.0	82.48	2.72837688087	76.0	81.0	83.0	84.0	88.0
last_dest_fail	100.0	80.46	16.5550321929	29.0	74.0	85.5	92.25	100.0
sum_time_left	100.0	1152.73	94.3769419494	944.0	1091.25	1148.0	1216.0	1402.0
n_penalties	100.0	412.36	24.778827717	349.0	396.0	411.0	428.25	479.0
last_penalty	100.0	99.02	1.35572113577	94.0	99.0	99.5	100.0	100.0
len_qvals	100.0	731.26	37.0068571314	637.0	702.5	731.5	759.0	844.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1872.695	64.5453757469	1701.0	1827.75	1867.25	1915.625	2017.5
disc_reward_sum	100.0	77.87	15.2460658943	42.5	69.5	77.0	88.5	115.0
n_dest_reached	100.0	82.57	3.10833028678	74.0	81.0	83.0	84.0	90.0
last_dest_fail	100.0	80.66	15.2588573384	33.0	71.75	84.0	93.0	100.0
sum_time_left	100.0	1150.25	104.679923403	898.0	1094.75	1150.0	1210.0	1396.0
n_penalties	100.0	418.24	27.1137223449	359.0	399.75	422.0	435.25	483.0
last_penalty	100.0	99.0	1.19764077851	95.0	98.0	99.0	100.0	100.0
len_qvals	100.0	739.07	42.4367039057	641.0	708.75	742.0	769.0	851.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1880.24	62.3432369381	1726.5	1842.25	1875.75	1922.125	2053.0
disc_reward_sum	100.0	82.06	15.36743244	45.0	73.75	82.0	93.0	127.0
n_dest_reached	100.0	82.69	2.81659942541	77.0	81.0	82.0	84.25	89.0
last_dest_fail	100.0	79.78	14.3559230025	43.0	68.0	82.0	91.25	100.0
sum_time_left	100.0	1137.93	89.4010660231	894.0	1073.25	1144.0	1206.25	1405.0
n_penalties	100.0	411.44	24.8398181486	352.0	394.75	411.0	427.25	476.0
last_penalty	100.0	98.69	1.6859191061	93.0	98.0	99.0	100.0	100.0
len_qvals	100.0	728.78	39.0807452138	623.0	705.0	730.5	755.25	825.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1876.705	65.5731950887	1744.5	1824.5	1871.75	1921.125	2021.5
disc_reward_sum	100.0	79.74	14.8717548026	40.0	72.375	79.5	88.125	119.0
n_dest_reached	100.0	82.8	2.56629277088	76.0	81.0	83.0	85.0	89.0
last_dest_fail	100.0	79.47	15.7039884273	31.0	67.0	83.0	92.0	100.0
sum_time_left	100.0	1149.91	94.8290428811	949.0	1079.75	1150.0	1210.25	1378.0
n_penalties	100.0	412.09	23.0756748044	340.0	399.0	411.0	427.0	466.0
last_penalty	100.0	98.9	1.50084151479	92.0	98.0	99.0	100.0	100.0
len_qvals	100.0	729.39	35.4029888027	614.0	707.5	726.5	753.0	817.0
	count	mean	std	min	25%	50%	75%	max
reward_sum	100.0	1880.785	57.6982421436	1725.0	1847.375	1872.0	1919.5	2086.0
disc_reward_sum	100.0	75.16	16.1213642053	41.0	64.5	74.75	86.25	117.0
n_dest_reached	100.0	82.53	2.77599740925	76.0	80.0	83.0	84.0	88.0
last_dest_fail	100.0	82.59	16.6005324242	34.0	73.75	89.0	95.0	100.0
sum_time_left	100.0	1144.12	81.3415644121	940.0	1088.75	1141.0	1195.25	1375.0
n_penalties	100.0	415.9	23.3837118482	361.0	398.5	412.5	433.25	488.0
last_penalty	100.0	98.9	1.41063779543	94.0	98.0	99.0	100.0	100.0
len_qvals	100.0	734.62	37.5213824561	650.0	708.5	732.0	760.0	830.0
	count	mean	std	min	25%	50%	75%	max
